Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","-0.00389"
"0.10000","0.12926","-0.01035"
"0.20000","0.26866","0.01242"
"0.30000","0.40262","0.01367"
"0.40000","0.53595","0.02809"
"0.50000","0.66935","0.03669"
"0.60000","0.80268","0.05531"
"0.70000","0.93591","0.06434"
"0.80000","1.06936","0.06879"
"0.90000","1.20269","0.08654"
"1.00000","1.33592","0.09939"
"1.10000","1.46942","0.10767"
"1.20000","1.60265","0.11733"
"1.30000","1.73604","0.13921"
"1.40000","1.86932","0.13990"
"1.50000","2.00260","0.15395"
"1.60000","2.13599","0.16361"
"1.70000","2.26933","0.17088"
"1.80000","2.40272","0.17565"
"1.90000","2.53600","0.19684"
"2.00000","2.66940","0.20813"
"2.10000","2.80268","0.22255"
"2.20000","2.93596","0.23252"
"2.30000","3.06935","0.23885"
"2.40000","3.20263","0.25027"
"2.50000","3.33602","0.27090"
"2.60000","3.46936","0.27949"
"2.70000","3.60258","0.29366"
"2.80000","3.73603","0.30213"
"2.90000","3.86931","0.32119"
"3.00000","4.00271","0.31906"
"3.10000","4.13599","0.34402"
"3.20000","4.26932","0.33699"
"3.30000","4.40272","0.36101"
"3.40000","4.53605","0.36383"
"3.50000","4.66933","0.36728"
"3.60000","4.80256","0.38340"
"3.70000","4.93601","0.40390"
"3.80000","5.06934","0.41469"
"3.90000","5.20268","0.42083"
"4.00000","5.33596","0.43444"
"4.10000","5.46930","0.43927"
"4.20000","5.60269","0.45495"
"4.30000","5.73597","0.46617"
"4.40000","5.86919","0.47533"
"4.50000","6.00270","0.48034"
"4.60000","6.13604","0.49483"
"4.70000","6.26932","0.49313"
"4.80000","6.40265","0.51333"
"4.90000","6.53599","0.51859"
"5.00000","6.66938","0.52530"
"5.10000","6.80266","0.53440"
"5.20000","6.93594","0.55001"
"5.30000","7.06934","0.55402"
"5.40000","7.20273","0.56424"
"5.50000","7.33595","0.58005"
"5.60000","7.46929","0.58795"
"5.70000","7.60274","0.60268"
"5.80000","7.73591","0.61309"
"5.90000","7.86936","0.61165"
"6.00000","8.00264","0.62576"
"6.10000","8.13592","0.62990"
"6.20000","8.26942","0.64257"
"6.30000","8.40265","0.65097"
"6.40000","8.53604","0.66313"
"6.50000","8.66938","0.67191"
"6.60000","8.80260","0.67731"
"6.70000","8.93599","0.69148"
"6.80000","9.06933","0.70208"
"6.90000","9.20267","0.70038"
"7.00000","9.33595","0.72045"
"7.10000","9.46940","0.71318"
"7.20000","9.60268","0.73807"
"7.30000","9.73596","0.74685"
"7.40000","9.86935","0.74628"
"7.50000","10.00257","0.75657"
"7.60000","10.13602","0.76930"
"7.70000","10.26936","0.77256"
"7.80000","10.40252","0.78190"
"7.90000","10.53609","0.79551"
"8.00000","10.66926","0.79764"
"8.10000","10.80265","0.81094"
"8.20000","10.93599","0.82022"
"8.30000","11.06927","0.82254"
"8.40000","11.20272","0.83157"
"8.50000","11.33605","0.83326"
"8.60000","11.46933","0.84931"
"8.70000","11.60267","0.86305"
"8.80000","11.73601","0.86750"
"8.90000","11.86929","0.86787"
"9.00000","12.00268","0.87929"
"9.10000","12.13602","0.89221"
"9.20000","12.26930","0.89126"
"9.30000","12.40275","0.91365"
"9.40000","12.53603","0.91096"
"9.50000","12.66925","0.91848"
"9.60000","12.80270","0.93014"
"9.70000","12.93592","0.94256"
"9.80000","13.06932","0.93836"
"9.90000","13.20271","0.95404"
"10.00000","13.33593","0.96319"
"10.10000","13.46938","0.96827"
"10.20000","13.60266","0.97598"
"10.30000","13.73600","0.98620"
"10.40000","13.86934","0.99053"
"10.50000","14.00273","1.00044"
"10.60000","14.13601","1.00721"
"10.70000","14.26935","1.01561"
"10.80000","14.40268","1.01781"
"10.90000","14.53596","1.02013"
"11.00000","14.66936","1.03204"
"11.10000","14.80264","1.03882"
"11.20000","14.93586","1.05311"
