Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00344"
"0.10000","0.12926","-0.01003"
"0.20000","0.26871","0.00784"
"0.30000","0.40250","0.00765"
"0.40000","0.53601","0.02020"
"0.50000","0.66929","0.03462"
"0.60000","0.80263","0.04622"
"0.70000","0.93596","0.05218"
"0.80000","1.06930","0.06014"
"0.90000","1.20269","0.07318"
"1.00000","1.33597","0.08842"
"1.10000","1.46931","0.09476"
"1.20000","1.60265","0.09952"
"1.30000","1.73598","0.11777"
"1.40000","1.86926","0.12084"
"1.50000","2.00254","0.13388"
"1.60000","2.13605","0.14762"
"1.70000","2.26922","0.14398"
"1.80000","2.40267","0.16304"
"1.90000","2.53595","0.18066"
"2.00000","2.66928","0.18806"
"2.10000","2.80262","0.19145"
"2.20000","2.93596","0.20148"
"2.30000","3.06929","0.21045"
"2.40000","3.20269","0.22299"
"2.50000","3.33597","0.23560"
"2.60000","3.46936","0.24350"
"2.70000","3.60264","0.25315"
"2.80000","3.73592","0.25510"
"2.90000","3.86926","0.26839"
"3.00000","4.00265","0.27579"
"3.10000","4.13593","0.27912"
"3.20000","4.26915","0.29655"
"3.30000","4.40266","0.30865"
"3.40000","4.53594","0.31335"
"3.50000","4.66933","0.32251"
"3.60000","4.80261","0.33800"
"3.70000","4.93589","0.34464"
"3.80000","5.06934","0.35951"
"3.90000","5.20268","0.35775"
"4.00000","5.33596","0.36308"
"4.10000","5.46935","0.37217"
"4.20000","5.60263","0.39375"
"4.30000","5.73597","0.39795"
"4.40000","5.86925","0.39933"
"4.50000","6.00259","0.41318"
"4.60000","6.13598","0.42046"
"4.70000","6.26932","0.42058"
"4.80000","6.40265","0.44347"
"4.90000","6.53582","0.44385"
"5.00000","6.66938","0.45695"
"5.10000","6.80261","0.46084"
"5.20000","6.93600","0.47207"
"5.30000","7.06928","0.47846"
"5.40000","7.20262","0.48273"
"5.50000","7.33595","0.49401"
"5.60000","7.46929","0.50261"
"5.70000","7.60263","0.51182"
"5.80000","7.73596","0.51559"
"5.90000","7.86930","0.52694"
"6.00000","8.00264","0.53133"
"6.10000","8.13597","0.53722"
"6.20000","8.26937","0.54857"
"6.30000","8.40259","0.56036"
"6.40000","8.53604","0.56901"
"6.50000","8.66926","0.56600"
"6.60000","8.80249","0.58099"
"6.70000","8.93599","0.58024"
"6.80000","9.06922","0.58544"
"6.90000","9.20267","0.60601"
"7.00000","9.33595","0.60946"
"7.10000","9.46928","0.61535"
"7.20000","9.60262","0.61999"
"7.30000","9.73596","0.61981"
"7.40000","9.86929","0.63285"
"7.50000","10.00268","0.63774"
"7.60000","10.13602","0.65317"
"7.70000","10.26936","0.66395"
"7.80000","10.40258","0.67254"
"7.90000","10.53592","0.67537"
"8.00000","10.66920","0.68176"
"8.10000","10.80259","0.67612"
"8.20000","10.93593","0.69349"
"8.30000","11.06921","0.69474"
"8.40000","11.20277","0.70860"
"8.50000","11.33594","0.71976"
"8.60000","11.46933","0.72610"
"8.70000","11.60256","0.72547"
"8.80000","11.73589","0.73362"
"8.90000","11.86923","0.73632"
"9.00000","12.00262","0.74152"
"9.10000","12.13596","0.74842"
"9.20000","12.26935","0.76090"
"9.30000","12.40269","0.76084"
"9.40000","12.53591","0.76767"
"9.50000","12.66931","0.77407"
"9.60000","12.80258","0.78523"
"9.70000","12.93598","0.78755"
"9.80000","13.06932","0.80040"
"9.90000","13.20260","0.80147"
"10.00000","13.33582","0.81476"
"10.10000","13.46938","0.81113"
"10.20000","13.60255","0.81765"
"10.30000","13.73594","0.82078"
"10.40000","13.86928","0.83477"
"10.50000","14.00256","0.83746"
"10.60000","14.13601","0.84649"
"10.70000","14.26929","0.84806"
"10.80000","14.40268","0.85471"
"10.90000","14.53596","0.85628"
"11.00000","14.66930","0.86807"
"11.10000","14.80258","0.87848"
"11.20000","14.93592","0.88537"
"11.30000","15.06931","0.88888"
"11.40000","15.20265","0.89384"
"11.50000","15.33604","0.89653"
"11.60000","15.46932","0.89842"
"11.70000","15.60249","0.91441"
"11.80000","15.73605","0.91240"
"11.90000","15.86922","0.92469"
"12.00000","16.00266","0.92927"
"12.10000","16.13595","0.92507"
"12.20000","16.26928","0.93786"
"12.30000","16.40273","0.93573"
"12.40000","16.53596","0.95222"
"12.50000","16.66929","0.95153"
"12.60000","16.80268","0.95912"
"12.70000","16.93596","0.95899"
"12.80000","17.06930","0.97774"
"12.90000","17.20258","0.97787"
"13.00000","17.33598","0.97956"
"13.10000","17.46926","0.98796"
"13.20000","17.60259","0.98771"
"13.30000","17.73593","0.99436"
"13.40000","17.86921","1.00239"
"13.50000","18.00271","1.00527"
"13.60000","18.13599","1.01374"
"13.70000","18.26939","1.01863"
"13.80000","18.40261","1.01938"
"13.90000","18.53584","1.02157"
"14.00000","18.66928","1.03010"
"14.10000","18.80256","1.03487"
"14.20000","18.93590","1.04020"
"14.30000","19.06935","1.05130"
"14.40000","19.20263","1.05368"
"14.50000","19.33597","1.05299"
"14.60000","19.46936","1.06415"
"14.70000","19.60253","1.05788"
"14.80000","19.73592","1.07036"
"14.90000","19.86932","1.07400"
"15.00000","20.00254","1.07262"
"15.10000","20.13588","1.08547"
"15.20000","20.26938","1.08905"
"15.30000","20.40261","1.09595"
"15.40000","20.53600","1.10033"
"15.50000","20.66934","1.10667"
"15.60000","20.80256","1.10962"
"15.70000","20.93607","1.11043"
"15.80000","21.06929","1.11996"
"15.90000","21.20262","1.11727"
"16.00000","21.33596","1.11940"
"16.10000","21.46930","1.12529"
"16.20000","21.60258","1.13765"
"16.30000","21.73597","1.13476"
"16.40000","21.86931","1.13451"
"16.50000","22.00265","1.14273"
"16.60000","22.13604","1.15244"
"16.70000","22.26932","1.16693"
"16.80000","22.40260","1.16323"
"16.90000","22.53599","1.17239"
"17.00000","22.66921","1.17101"
"17.10000","22.80267","1.17678"
"17.20000","22.93594","1.18443"
"17.30000","23.06923","1.18831"
"17.40000","23.20267","1.19377"
"17.50000","23.33596","1.19302"
"17.60000","23.46924","1.19421"
"17.70000","23.60257","1.19828"
"17.80000","23.73597","1.19910"
"17.90000","23.86925","1.21258"
"18.00000","24.00264","1.21032"
"18.10000","24.13597","1.21177"
"18.20000","24.26920","1.22274"
"18.30000","24.40259","1.23152"
"18.40000","24.53593","1.23233"
"18.50000","24.66921","1.23403"
"18.60000","24.80266","1.23296"
"18.70000","24.93594","1.24318"
"18.80000","25.06939","1.24557"
"18.90000","25.20261","1.24249"
"19.00000","25.33595","1.24851"
"19.10000","25.46934","1.25955"
"19.20000","25.60251","1.26331"
"19.30000","25.73596","1.26381"
"19.40000","25.86930","1.25905"
"19.50000","26.00263","1.27403"
"19.60000","26.13597","1.27767"
"19.70000","26.26930","1.28463"
"19.80000","26.40264","1.28689"
"19.90000","26.53592","1.28582"
"20.00000","26.66926","1.29479"
"20.10000","26.80254","1.30232"
"20.20000","26.93593","1.30207"
"20.30000","27.06933","1.29655"
"20.40000","27.20261","1.30721"
"20.50000","27.33600","1.31511"
"20.60000","27.46934","1.31705"
"20.70000","27.60250","1.31486"
"20.80000","27.73606","1.31605"
"20.90000","27.86929","1.33398"
"21.00000","28.00274","1.32533"
"21.10000","28.13596","1.33380"
"21.20000","28.26924","1.33881"
"21.30000","28.40264","1.33668"
"21.40000","28.53597","1.34928"
"21.50000","28.66925","1.34803"
"21.60000","28.80259","1.34446"
"21.70000","28.93604","1.34822"
"21.80000","29.06932","1.35480"
"21.90000","29.20260","1.36289"
"22.00000","29.33599","1.36195"
"22.10000","29.46927","1.36371"
"22.20000","29.60261","1.36063"
"22.30000","29.73589","1.37224"
"22.40000","29.86923","1.38114"
"22.50000","30.00268","1.37963"
"22.60000","30.13601","1.38421"
"22.70000","30.26924","1.38459"
"22.80000","30.40263","1.38860"
"22.90000","30.53596","1.40139"
"23.00000","30.66930","1.39337"
"23.10000","30.80264","1.40177"
"23.20000","30.93592","1.40133"
"23.30000","31.06931","1.40516"
"23.40000","31.20271","1.42322"
"23.50000","31.33598","1.41651"
"23.60000","31.46926","1.41745"
"23.70000","31.60266","1.42591"
"23.80000","31.73594","1.42911"
"23.90000","31.86933","1.41814"
"24.00000","32.00261","1.42754"
"24.10000","32.13589","1.42610"
"24.20000","32.26934","1.44535"
"24.30000","32.40262","1.43469"
"24.40000","32.53595","1.44422"
"24.50000","32.66930","1.43262"
"24.60000","32.80257","1.44429"
"24.70000","32.93591","1.45212"
"24.80000","33.06936","1.44974"
"24.90000","33.20258","1.45902"
"25.00000","33.33598","1.45764"
"25.10000","33.46931","1.46473"
"25.20000","33.60260","1.46034"
"25.30000","33.73593","1.46786"
"25.40000","33.86932","1.46241"
"25.50000","34.00260","1.46492"
"25.60000","34.13600","1.47658"
"25.70000","34.26928","1.48084"
"25.80000","34.40250","1.49044"
"25.90000","34.53601","1.48962"
"26.00000","34.66923","1.48793"
"26.10000","34.80262","1.48222"
"26.20000","34.93596","1.49840"
"26.30000","35.06930","1.49464"
"26.40000","35.20263","1.50053"
"26.50000","35.33597","1.49426"
"26.60000","35.46931","1.50762"
"26.70000","35.60259","1.51333"
"26.80000","35.73603","1.50260"
"26.90000","35.86926","1.52581"
"27.00000","36.00260","1.51646"
"27.10000","36.13599","1.51803"
"27.20000","36.26927","1.52167"
"27.30000","36.40266","1.53095"
"27.40000","36.53600","1.53239"
"27.50000","36.66917","1.53295"
"27.60000","36.80268","1.53013"
"27.70000","36.93596","1.52719"
"27.80000","37.06929","1.54305"
"27.90000","37.20263","1.53490"
"28.00000","37.33591","1.53897"
"28.10000","37.46925","1.54725"
"28.20000","37.60264","1.54800"
"28.30000","37.73592","1.55007"
"28.40000","37.86926","1.54857"
"28.50000","38.00270","1.55848"
"28.60000","38.13598","1.55848"
"28.70000","38.26932","1.56080"
"28.80000","38.40260","1.56155"
"28.90000","38.53588","1.57603"
"29.00000","38.66933","1.57898"
"29.10000","38.80261","1.57597"
"29.20000","38.93589","1.57503"
"29.30000","39.06940","1.58807"
"29.40000","39.20261","1.59014"
"29.50000","39.33596","1.58375"
"29.60000","39.46923","1.58989"
"29.70000","39.60257","1.59447"
"29.80000","39.73590","1.59504"
"29.90000","39.86930","1.60682"
"30.00000","40.00264","1.59729"
"30.10000","40.13604","1.60187"
"30.20000","40.26931","1.61404"
"30.30000","40.40265","1.60921"
"30.40000","40.53599","1.60639"
"30.50000","40.66926","1.61422"
"30.60000","40.80255","1.61529"
"30.70000","40.93594","1.62476"
"30.80000","41.06927","1.62313"
"30.90000","41.20250","1.62344"
"31.00000","41.33606","1.61761"
"31.10000","41.46923","1.63642"
"31.20000","41.60262","1.63435"
"31.30000","41.73590","1.63297"
"31.40000","41.86924","1.62965"
"31.50000","42.00263","1.63272"
"31.60000","42.13603","1.64119"
"31.70000","42.26931","1.64326"
"31.80000","42.40259","1.64376"
"31.90000","42.53598","1.64815"
"32.00000","42.66926","1.65693"
"32.10000","42.80265","1.65273"
"32.20000","42.93593","1.65517"
"32.30000","43.06927","1.65511"
"32.40000","43.20272","1.65505"
"32.50000","43.33600","1.66132"
"32.60000","43.46911","1.66608"
"32.70000","43.60268","1.67605"
"32.80000","43.73590","1.67624"
"32.90000","43.86924","1.66947"
"33.00000","44.00263","1.67474"
"33.10000","44.13597","1.67662"
"33.20000","44.26936","1.67724"
