Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01442"
"0.10000","0.12982","-0.00332"
"0.20000","0.26877","0.00295"
"0.30000","0.40267","0.00144"
"0.40000","0.53601","0.00483"
"0.50000","0.66940","0.00753"
"0.60000","0.80274","0.01424"
"0.70000","0.93608","0.01743"
"0.80000","1.06930","0.01988"
"0.90000","1.20264","0.03016"
"1.00000","1.33609","0.04352"
"1.10000","1.46937","0.04904"
"1.20000","1.60270","0.05167"
"1.30000","1.73610","0.06177"
"1.40000","1.86932","0.06553"
"1.50000","2.00277","0.07306"
"1.60000","2.13605","0.09087"
"1.70000","2.26933","0.08409"
"1.80000","2.40272","0.09695"
"1.90000","2.53600","0.10284"
"2.00000","2.66934","0.11056"
"2.10000","2.80273","0.13000"
"2.20000","2.93601","0.13520"
"2.30000","3.06941","0.13815"
"2.40000","3.20274","0.15414"
"2.50000","3.33608","0.15244"
"2.60000","3.46930","0.16887"
"2.70000","3.60275","0.17308"
"2.80000","3.73603","0.17991"
"2.90000","3.86937","0.19045"
"3.00000","4.00271","0.20499"
"3.10000","4.13593","0.21402"
"3.20000","4.26938","0.21691"
"3.30000","4.40272","0.22537"
"3.40000","4.53600","0.23622"
"3.50000","4.66939","0.23647"
"3.60000","4.80273","0.24663"
"3.70000","4.93601","0.26494"
"3.80000","5.06934","0.27077"
"3.90000","5.20262","0.27454"
"4.00000","5.33607","0.28683"
"4.10000","5.46941","0.30050"
"4.20000","5.60275","0.30501"
"4.30000","5.73597","0.31178"
"4.40000","5.86942","0.31492"
"4.50000","6.00270","0.32934"
"4.60000","6.13604","0.33637"
"4.70000","6.26937","0.34747"
"4.80000","6.40265","0.35681"
"4.90000","6.53610","0.35900"
"5.00000","6.66938","0.36621"
"5.10000","6.80266","0.38177"
"5.20000","6.93600","0.38126"
"5.30000","7.06939","0.39788"
"5.40000","7.20273","0.39907"
"5.50000","7.33601","0.40660"
"5.60000","7.46935","0.41205"
"5.70000","7.60274","0.42146"
"5.80000","7.73608","0.43099"
"5.90000","7.86941","0.43432"
"6.00000","8.00264","0.45219"
"6.10000","8.13603","0.45582"
"6.20000","8.26931","0.46235"
"6.30000","8.40270","0.46924"
"6.40000","8.53604","0.47087"
