Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","-0.01146"
"0.10000","0.12960","0.01281"
"0.20000","0.26877","0.04385"
"0.30000","0.40256","0.07803"
"0.40000","0.53590","0.11346"
"0.50000","0.66940","0.13591"
"0.60000","0.80268","0.17673"
"0.70000","0.93602","0.19899"
"0.80000","1.06936","0.23235"
"0.90000","1.20258","0.26151"
"1.00000","1.33609","0.28252"
"1.10000","1.46931","0.31676"
"1.20000","1.60265","0.34867"
"1.30000","1.73593","0.38091"
"1.40000","1.86938","0.40260"
"1.50000","2.00271","0.43113"
"1.60000","2.13599","0.44581"
"1.70000","2.26939","0.48099"
"1.80000","2.40267","0.50839"
"1.90000","2.53600","0.52419"
"2.00000","2.66928","0.55693"
"2.10000","2.80256","0.58188"
"2.20000","2.93601","0.60427"
"2.30000","3.06935","0.62691"
"2.40000","3.20274","0.65983"
"2.50000","3.33602","0.68523"
"2.60000","3.46930","0.69752"
"2.70000","3.60275","0.72436"
"2.80000","3.73598","0.75207"
"2.90000","3.86937","0.76374"
"3.00000","4.00265","0.79321"
"3.10000","4.13604","0.81359"
"3.20000","4.26932","0.84174"
"3.30000","4.40266","0.85730"
"3.40000","4.53600","0.88112"
"3.50000","4.66933","0.89548"
"3.60000","4.80273","0.91887"
"3.70000","4.93601","0.94019"
"3.80000","5.06929","0.97362"
"3.90000","5.20268","0.98566"
"4.00000","5.33602","1.00384"
"4.10000","5.46935","1.02128"
"4.20000","5.60258","1.04655"
"4.30000","5.73597","1.05796"
"4.40000","5.86942","1.08216"
"4.50000","6.00259","1.10280"
"4.60000","6.13604","1.11785"
"4.70000","6.26932","1.13616"
"4.80000","6.40260","1.15522"
"4.90000","6.53605","1.17083"
"5.00000","6.66933","1.19874"
"5.10000","6.80255","1.21115"
"5.20000","6.93594","1.23009"
"5.30000","7.06934","1.23505"
"5.40000","7.20262","1.26790"
"5.50000","7.33595","1.27480"
"5.60000","7.46940","1.30058"
"5.70000","7.60263","1.31813"
"5.80000","7.73602","1.33306"
"5.90000","7.86930","1.35983"
"6.00000","8.00258","1.37313"
"6.10000","8.13609","1.39056"
"6.20000","8.26937","1.40618"
"6.30000","8.40270","1.42091"
"6.40000","8.53604","1.44468"
"6.50000","8.66932","1.45898"
"6.60000","8.80266","1.47076"
"6.70000","8.93605","1.48744"
"6.80000","9.06933","1.51290"
"6.90000","9.20267","1.51146"
"7.00000","9.33606","1.53886"
"7.10000","9.46934","1.55467"
"7.20000","9.60256","1.56890"
"7.30000","9.73601","1.58727"
"7.40000","9.86935","1.59844"
"7.50000","10.00268","1.61844"
"7.60000","10.13602","1.62013"
"7.70000","10.26930","1.64164"
"7.80000","10.40281","1.65544"
"7.90000","10.53603","1.68453"
"8.00000","10.66926","1.68573"
"8.10000","10.80259","1.69670"
"8.20000","10.93599","1.71463"
"8.30000","11.06932","1.72504"
"8.40000","11.20266","1.73589"
"8.50000","11.33594","1.75169"
"8.60000","11.46928","1.77126"
"8.70000","11.60267","1.78737"
"8.80000","11.73589","1.79640"
"8.90000","11.86929","1.81428"
"9.00000","12.00262","1.82249"
"9.10000","12.13596","1.84601"
"9.20000","12.26941","1.85159"
"9.30000","12.40269","1.86275"
"9.40000","12.53586","1.88137"
"9.50000","12.66942","1.88614"
"9.60000","12.80270","1.89862"
"9.70000","12.93604","1.91624"
"9.80000","13.06937","1.92677"
"9.90000","13.20265","1.94433"
"10.00000","13.33610","1.95110"
"10.10000","13.46933","1.97117"
"10.20000","13.60260","1.98152"
"10.30000","13.73594","1.99431"
"10.40000","13.86939","2.00340"
"10.50000","14.00267","2.00986"
"10.60000","14.13601","2.02466"
"10.70000","14.26940","2.03959"
"10.80000","14.40263","2.05282"
"10.90000","14.53608","2.06862"
"11.00000","14.66930","2.07639"
"11.10000","14.80258","2.09069"
"11.20000","14.93609","2.09427"
"11.30000","15.06931","2.10769"
"11.40000","15.20259","2.12111"
"11.50000","15.33604","2.13321"
"11.60000","15.46926","2.14544"
"11.70000","15.60271","2.15359"
"11.80000","15.73605","2.16130"
"11.90000","15.86933","2.18569"
"12.00000","16.00272","2.19723"
"12.10000","16.13606","2.20821"
"12.20000","16.26934","2.21517"
"12.30000","16.40268","2.22338"
"12.40000","16.53601","2.23818"
"12.50000","16.66929","2.24558"
"12.60000","16.80257","2.26508"
"12.70000","16.93596","2.26540"
"12.80000","17.06919","2.27944"
"12.90000","17.20275","2.28621"
"13.00000","17.33603","2.29424"
"13.10000","17.46931","2.31287"
"13.20000","17.60265","2.31776"
"13.30000","17.73593","2.34021"
"13.40000","17.86943","2.33864"
"13.50000","18.00266","2.34999"
"13.60000","18.13599","2.37225"
"13.70000","18.26933","2.38329"
"13.80000","18.40273","2.38931"
"13.90000","18.53601","2.39677"
"14.00000","18.66928","2.40906"
"14.10000","18.80268","2.41370"
"14.20000","18.93596","2.43207"
"14.30000","19.06935","2.43107"
"14.40000","19.20269","2.44844"
"14.50000","19.33591","2.46813"
"14.60000","19.46936","2.46782"
"14.70000","19.60264","2.47490"
"14.80000","19.73603","2.47992"
"14.90000","19.86932","2.48675"
"15.00000","20.00259","2.50306"
"15.10000","20.13604","2.51867"
"15.20000","20.26938","2.52852"
"15.30000","20.40261","2.52921"
"15.40000","20.53600","2.54382"
"15.50000","20.66934","2.55924"
"15.60000","20.80267","2.56940"
"15.70000","20.93601","2.56990"
"15.80000","21.06935","2.58245"
"15.90000","21.20262","2.59229"
"16.00000","21.33602","2.60439"
"16.10000","21.46924","2.61562"
"16.20000","21.60252","2.62258"
"16.30000","21.73603","2.62527"
"16.40000","21.86931","2.63838"
"16.50000","22.00270","2.63970"
"16.60000","22.13604","2.66284"
"16.70000","22.26932","2.66321"
"16.80000","22.40271","2.68108"
"16.90000","22.53605","2.68284"
"17.00000","22.66921","2.68917"
"17.10000","22.80272","2.69394"
"17.20000","22.93606","2.71024"
"17.30000","23.06934","2.71363"
"17.40000","23.20267","2.72410"
"17.50000","23.33607","2.73539"
"17.60000","23.46924","2.73946"
"17.70000","23.60268","2.75640"
"17.80000","23.73602","2.76097"
"17.90000","23.86925","2.77389"
"18.00000","24.00270","2.77402"
"18.10000","24.13603","2.78744"
"18.20000","24.26937","2.80725"
"18.30000","24.40265","2.81127"
"18.40000","24.53593","2.81308"
"18.50000","24.66932","2.82017"
"18.60000","24.80266","2.83829"
"18.70000","24.93594","2.83973"
"18.80000","25.06928","2.85065"
"18.90000","25.20272","2.85654"
"19.00000","25.33612","2.86300"
"19.10000","25.46934","2.87209"
"19.20000","25.60262","2.88959"
"19.30000","25.73596","2.89354"
"19.40000","25.86941","2.89993"
"19.50000","26.00269","2.91041"
"19.60000","26.13597","2.90984"
"19.70000","26.26942","2.92232"
"19.80000","26.40264","2.93612"
"19.90000","26.53598","2.94559"
"20.00000","26.66932","2.95813"
"20.10000","26.80260","2.96822"
"20.20000","26.93605","2.96829"
"20.30000","27.06933","2.97098"
"20.40000","27.20266","2.98365"
"20.50000","27.33611","2.98992"
"20.60000","27.46928","3.00353"
"20.70000","27.60267","3.01024"
"20.80000","27.73601","3.01444"
"20.90000","27.86940","3.02478"
"21.00000","28.00262","3.02861"
"21.10000","28.13607","3.03983"
"21.20000","28.26941","3.05445"
"21.30000","28.40264","3.06849"
"21.40000","28.53609","3.07031"
"21.50000","28.66931","3.08266"
"21.60000","28.80270","3.08592"
"21.70000","28.93604","3.08611"
