Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00781"
"0.10000","0.12920","0.01119"
"0.20000","0.26866","0.04957"
"0.30000","0.40267","0.07848"
"0.40000","0.53607","0.10557"
"0.50000","0.66946","0.14313"
"0.60000","0.80268","0.15856"
"0.70000","0.93602","0.19737"
"0.80000","1.06941","0.22290"
"0.90000","1.20269","0.24165"
"1.00000","1.33603","0.27269"
"1.10000","1.46942","0.29852"
"1.20000","1.60270","0.32053"
"1.30000","1.73610","0.35226"
"1.40000","1.86938","0.37220"
"1.50000","2.00277","0.40105"
"1.60000","2.13611","0.42958"
"1.70000","2.26939","0.45360"
"1.80000","2.40272","0.48012"
"1.90000","2.53600","0.50113"
"2.00000","2.66940","0.52402"
"2.10000","2.80268","0.54891"
"2.20000","2.93613","0.57487"
"2.30000","3.06935","0.59933"
"2.40000","3.20263","0.62002"
"2.50000","3.33614","0.64185"
"2.60000","3.46942","0.66066"
"2.70000","3.60275","0.68499"
"2.80000","3.73603","0.71001"
"2.90000","3.86937","0.71804"
"3.00000","4.00276","0.74908"
"3.10000","4.13604","0.77152"
"3.20000","4.26938","0.78789"
"3.30000","4.40277","0.80652"
"3.40000","4.53611","0.82752"
"3.50000","4.66933","0.85474"
"3.60000","4.80267","0.87098"
"3.70000","4.93606","0.88985"
"3.80000","5.06940","0.91908"
"3.90000","5.20279","0.93187"
"4.00000","5.33607","0.94930"
"4.10000","5.46930","0.95601"
"4.20000","5.60275","0.98247"
"4.30000","5.73603","1.00053"
"4.40000","5.86936","1.01734"
"4.50000","6.00270","1.03910"
"4.60000","6.13604","1.06349"
"4.70000","6.26943","1.07980"
"4.80000","6.40277","1.09704"
"4.90000","6.53610","1.11660"
"5.00000","6.66938","1.13272"
"5.10000","6.80278","1.14351"
"5.20000","6.93606","1.16815"
"5.30000","7.06939","1.17956"
"5.40000","7.20273","1.19919"
"5.50000","7.33601","1.20973"
"5.60000","7.46940","1.22289"
"5.70000","7.60274","1.24585"
"5.80000","7.73596","1.26485"
"5.90000","7.86947","1.27952"
"6.00000","8.00264","1.29495"
"6.10000","8.13609","1.31576"
"6.20000","8.26937","1.33088"
"6.30000","8.40270","1.34894"
"6.40000","8.53610","1.36085"
"6.50000","8.66938","1.37797"
"6.60000","8.80266","1.40067"
"6.70000","8.93616","1.41396"
"6.80000","9.06939","1.42268"
"6.90000","9.20272","1.44475"
"7.00000","9.33606","1.45454"
"7.10000","9.46940","1.46984"
"7.20000","9.60268","1.48037"
"7.30000","9.73613","1.49630"
"7.40000","9.86935","1.50721"
"7.50000","10.00257","1.52113"
"7.60000","10.13608","1.53643"
"7.70000","10.26942","1.54496"
"7.80000","10.40275","1.57136"
"7.90000","10.53609","1.58315"
"8.00000","10.66937","1.59243"
"8.10000","10.80270","1.61055"
"8.20000","10.93604","1.61858"
"8.30000","11.06932","1.64097"
"8.40000","11.20277","1.65119"
"8.50000","11.33605","1.65319"
"8.60000","11.46939","1.67370"
"8.70000","11.60267","1.68348"
"8.80000","11.73606","1.68737"
"8.90000","11.86934","1.71402"
"9.00000","12.00279","1.73239"
"9.10000","12.13602","1.74080"
"9.20000","12.26924","1.74412"
"9.30000","12.40280","1.75603"
"9.40000","12.53597","1.77008"
"9.50000","12.66936","1.78921"
"9.60000","12.80264","1.79748"
"9.70000","12.93598","1.81159"
"9.80000","13.06943","1.81648"
"9.90000","13.20271","1.82959"
"10.00000","13.33599","1.83987"
"10.10000","13.46944","1.85530"
"10.20000","13.60272","1.86477"
"10.30000","13.73606","1.88076"
"10.40000","13.86934","1.89286"
"10.50000","14.00273","1.90120"
"10.60000","14.13607","1.90797"
"10.70000","14.26946","1.92986"
"10.80000","14.40268","1.93481"
"10.90000","14.53602","1.94623"
"11.00000","14.66947","1.95532"
"11.10000","14.80264","1.95783"
"11.20000","14.93609","1.97708"
"11.30000","15.06937","1.98774"
"11.40000","15.20276","2.00066"
"11.50000","15.33610","2.01677"
"11.60000","15.46938","2.02436"
"11.70000","15.60271","2.03295"
"11.80000","15.73605","2.03822"
"11.90000","15.86938","2.05358"
"12.00000","16.00272","2.06681"
"12.10000","16.13600","2.07591"
"12.20000","16.26934","2.08174"
"12.30000","16.40273","2.09748"
"12.40000","16.53607","2.10713"
"12.50000","16.66935","2.11949"
"12.60000","16.80263","2.12244"
"12.70000","16.93613","2.13912"
"12.80000","17.06936","2.13999"
"12.90000","17.20275","2.15435"
"13.00000","17.33603","2.15799"
"13.10000","17.46943","2.17235"
"13.20000","17.60276","2.18188"
"13.30000","17.73604","2.19630"
"13.40000","17.86927","2.20759"
"13.50000","18.00271","2.20358"
"13.60000","18.13605","2.21455"
"13.70000","18.26939","2.23531"
"13.80000","18.40267","2.23562"
"13.90000","18.53606","2.25136"
"14.00000","18.66940","2.25563"
"14.10000","18.80279","2.26798"
"14.20000","18.93607","2.28077"
"14.30000","19.06930","2.29657"
"14.40000","19.20286","2.29588"
"14.50000","19.33608","2.30454"
"14.60000","19.46936","2.31043"
"14.70000","19.60270","2.31821"
"14.80000","19.73598","2.32931"
"14.90000","19.86949","2.34455"
"15.00000","20.00271","2.35307"
"15.10000","20.13599","2.35847"
"15.20000","20.26938","2.36812"
"15.30000","20.40277","2.38079"
"15.40000","20.53600","2.38098"
"15.50000","20.66934","2.38926"
"15.60000","20.80273","2.39509"
"15.70000","20.93601","2.40920"
"15.80000","21.06935","2.42067"
"15.90000","21.20268","2.42111"
"16.00000","21.33596","2.43039"
"16.10000","21.46947","2.44745"
"16.20000","21.60275","2.45247"
"16.30000","21.73608","2.46701"
"16.40000","21.86937","2.47253"
"16.50000","22.00270","2.47542"
"16.60000","22.13610","2.49065"
"16.70000","22.26937","2.50263"
"16.80000","22.40277","2.49918"
"16.90000","22.53605","2.50690"
"17.00000","22.66939","2.51536"
"17.10000","22.80272","2.52690"
"17.20000","22.93606","2.53449"
"17.30000","23.06940","2.54640"
"17.40000","23.20267","2.55593"
"17.50000","23.33612","2.55819"
"17.60000","23.46935","2.56791"
"17.70000","23.60268","2.56973"
"17.80000","23.73608","2.57449"
"17.90000","23.86942","2.57619"
"18.00000","24.00281","2.59682"
"18.10000","24.13603","2.61532"
"18.20000","24.26937","2.61651"
"18.30000","24.40282","2.62316"
"18.40000","24.53604","2.63288"
"18.50000","24.66938","2.63012"
"18.60000","24.80272","2.64761"
"18.70000","24.93605","2.66103"
"18.80000","25.06939","2.66392"
"18.90000","25.20272","2.66598"
