Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.03006"
"0.10000","0.12971","0.12476"
"0.20000","0.26883","0.34436"
"0.30000","0.40256","0.53644"
"0.40000","0.53612","0.71440"
"0.50000","0.66935","0.87895"
"0.60000","0.80274","1.02537"
"0.70000","0.93608","1.17612"
"0.80000","1.06941","1.32781"
"0.90000","1.20269","1.45009"
"1.00000","1.33603","1.56986"
"1.10000","1.46937","1.68951"
"1.20000","1.60276","1.80589"
"1.30000","1.73604","1.91350"
"1.40000","1.86938","2.01684"
"1.50000","2.00266","2.10965"
"1.60000","2.13605","2.21117"
"1.70000","2.26939","2.30611"
"1.80000","2.40272","2.38964"
"1.90000","2.53606","2.48853"
"2.00000","2.66934","2.56553"
"2.10000","2.80268","2.65646"
"2.20000","2.93601","2.72011"
"2.30000","3.06946","2.80094"
"2.40000","3.20280","2.87675"
"2.50000","3.33608","2.94347"
"2.60000","3.46942","3.02079"
"2.70000","3.60270","3.08011"
"2.80000","3.73609","3.14062"
"2.90000","3.86937","3.20615"
"3.00000","4.00265","3.26899"
"3.10000","4.13610","3.32962"
"3.20000","4.26938","3.38355"
"3.30000","4.40272","3.45379"
"3.40000","4.53600","3.50050"
"3.50000","4.66939","3.55982"
"3.60000","4.80273","3.59858"
"3.70000","4.93606","3.65677"
"3.80000","5.06946","3.70969"
"3.90000","5.20262","3.75478"
"4.00000","5.33607","3.79918"
"4.10000","5.46941","3.84978"
"4.20000","5.60269","3.89211"
"4.30000","5.73603","3.93293"
"4.40000","5.86936","3.98730"
"4.50000","6.00270","4.02229"
"4.60000","6.13604","4.06562"
"4.70000","6.26937","4.10645"
"4.80000","6.40277","4.14326"
"4.90000","6.53610","4.18420"
"5.00000","6.66944","4.22070"
"5.10000","6.80266","4.25625"
"5.20000","6.93606","4.29388"
"5.30000","7.06939","4.33295"
"5.40000","7.20267","4.36474"
"5.50000","7.33607","4.40343"
"5.60000","7.46929","4.42839"
"5.70000","7.60274","4.46168"
"5.80000","7.73608","4.49943"
"5.90000","7.86936","4.53110"
"6.00000","8.00269","4.56095"
"6.10000","8.13603","4.59187"
"6.20000","8.26942","4.61808"
"6.30000","8.40270","4.65382"
"6.40000","8.53598","4.68216"
"6.50000","8.66938","4.70662"
"6.60000","8.80271","4.73659"
"6.70000","8.93605","4.76889"
"6.80000","9.06939","4.79284"
"6.90000","9.20272","4.81793"
"7.00000","9.33606","4.84677"
"7.10000","9.46940","4.86602"
"7.20000","9.60268","4.89349"
"7.30000","9.73596","4.92058"
"7.40000","9.86941","4.94397"
