Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01580"
"0.10000","0.12909","0.10535"
"0.20000","0.26871","0.27429"
"0.30000","0.40262","0.42197"
"0.40000","0.53607","0.55585"
"0.50000","0.66940","0.69155"
"0.60000","0.80274","0.81408"
"0.70000","0.93602","0.93448"
"0.80000","1.06930","1.04798"
"0.90000","1.20275","1.14712"
"1.00000","1.33603","1.26087"
"1.10000","1.46931","1.35468"
"1.20000","1.60265","1.44843"
"1.30000","1.73598","1.54362"
"1.40000","1.86943","1.62075"
"1.50000","2.00260","1.71086"
"1.60000","2.13611","1.79482"
"1.70000","2.26944","1.86612"
"1.80000","2.40272","1.93849"
"1.90000","2.53606","2.01969"
"2.00000","2.66934","2.08911"
"2.10000","2.80273","2.15727"
"2.20000","2.93607","2.22280"
"2.30000","3.06935","2.29191"
"2.40000","3.20263","2.36045"
"2.50000","3.33591","2.42353"
"2.60000","3.46942","2.48467"
"2.70000","3.60270","2.54023"
"2.80000","3.73603","2.59754"
"2.90000","3.86937","2.66044"
"3.00000","4.00271","2.70076"
"3.10000","4.13610","2.76648"
"3.20000","4.26938","2.82323"
"3.30000","4.40266","2.87377"
"3.40000","4.53611","2.92174"
"3.50000","4.66939","2.97279"
"3.60000","4.80273","3.01305"
"3.70000","4.93606","3.06051"
"3.80000","5.06940","3.10604"
"3.90000","5.20274","3.15972"
"4.00000","5.33607","3.19885"
"4.10000","5.46941","3.22863"
"4.20000","5.60258","3.27635"
"4.30000","5.73608","3.31699"
"4.40000","5.86942","3.35587"
"4.50000","6.00270","3.39556"
"4.60000","6.13598","3.44291"
"4.70000","6.26932","3.46686"
"4.80000","6.40271","3.50756"
"4.90000","6.53599","3.54355"
"5.00000","6.66938","3.57754"
"5.10000","6.80278","3.61504"
"5.20000","6.93606","3.64965"
"5.30000","7.06939","3.68897"
"5.40000","7.20267","3.72390"
"5.50000","7.33601","3.75500"
"5.60000","7.46935","3.77413"
"5.70000","7.60268","3.81884"
"5.80000","7.73602","3.84461"
"5.90000","7.86930","3.87590"
"6.00000","8.00269","3.90462"
"6.10000","8.13597","3.93717"
"6.20000","8.26937","3.95874"
"6.30000","8.40265","3.98715"
"6.40000","8.53598","4.01862"
"6.50000","8.66938","4.04778"
"6.60000","8.80271","4.06478"
"6.70000","8.93605","4.10221"
"6.80000","9.06944","4.13162"
"6.90000","9.20272","4.15495"
"7.00000","9.33612","4.17947"
"7.10000","9.46940","4.20135"
"7.20000","9.60268","4.22393"
"7.30000","9.73601","4.25572"
"7.40000","9.86941","4.28106"
"7.50000","10.00268","4.30758"
"7.60000","10.13591","4.31943"
"7.70000","10.26942","4.34953"
"7.80000","10.40275","4.37913"
"7.90000","10.53609","4.39330"
"8.00000","10.66931","4.42359"
"8.10000","10.80265","4.43212"
"8.20000","10.93604","4.46040"
"8.30000","11.06927","4.47307"
"8.40000","11.20266","4.49965"
"8.50000","11.33605","4.52543"
"8.60000","11.46933","4.54468"
"8.70000","11.60267","4.56562"
"8.80000","11.73601","4.57603"
"8.90000","11.86940","4.60080"
"9.00000","12.00268","4.61824"
"9.10000","12.13602","4.63987"
"9.20000","12.26941","4.65586"
"9.30000","12.40263","4.67530"
"9.40000","12.53608","4.68935"
"9.50000","12.66931","4.71092"
"9.60000","12.80270","4.72327"
"9.70000","12.93598","4.75324"
"9.80000","13.06932","4.76579"
"9.90000","13.20277","4.78240"
"10.00000","13.33599","4.79074"
"10.10000","13.46938","4.80974"
"10.20000","13.60272","4.82962"
"10.30000","13.73606","4.85433"
"10.40000","13.86939","4.86041"
"10.50000","14.00267","4.87640"
"10.60000","14.13601","4.89948"
"10.70000","14.26935","4.91854"
"10.80000","14.40274","4.92757"
"10.90000","14.53608","4.94300"
"11.00000","14.66930","4.96031"
"11.10000","14.80275","4.98683"
"11.20000","14.93603","4.99072"
"11.30000","15.06942","5.00941"
"11.40000","15.20259","5.02333"
"11.50000","15.33593","5.04045"
"11.60000","15.46943","5.05524"
"11.70000","15.60271","5.06929"
"11.80000","15.73605","5.08346"
"11.90000","15.86944","5.10359"
"12.00000","16.00272","5.11864"
"12.10000","16.13606","5.13106"
"12.20000","16.26934","5.15181"
"12.30000","16.40268","5.16342"
"12.40000","16.53601","5.17119"
"12.50000","16.66940","5.19427"
"12.60000","16.80268","5.20750"
"12.70000","16.93596","5.22443"
"12.80000","17.06936","5.23195"
"12.90000","17.20275","5.25108"
"13.00000","17.33609","5.26274"
"13.10000","17.46937","5.28112"
"13.20000","17.60271","5.29034"
"13.30000","17.73610","5.30677"
"13.40000","17.86932","5.30702"
"13.50000","18.00271","5.32564"
"13.60000","18.13594","5.32959"
"13.70000","18.26933","5.34232"
"13.80000","18.40267","5.34746"
"13.90000","18.53601","5.36903"
"14.00000","18.66934","5.38239"
"14.10000","18.80268","5.39606"
"14.20000","18.93602","5.41030"
"14.30000","19.06935","5.42553"
"14.40000","19.20258","5.44328"
"14.50000","19.33608","5.45149"
"14.60000","19.46936","5.45990"
"14.70000","19.60270","5.48147"
"14.80000","19.73603","5.49012"
"14.90000","19.86932","5.49752"
"15.00000","20.00276","5.52831"
"15.10000","20.13599","5.53082"
"15.20000","20.26938","5.54951"
"15.30000","20.40272","5.56123"
"15.40000","20.53606","5.57760"
"15.50000","20.66939","5.58425"
"15.60000","20.80267","5.60224"
"15.70000","20.93601","5.60601"
"15.80000","21.06935","5.61943"
"15.90000","21.20268","5.63310"
"16.00000","21.33602","5.64645"
"16.10000","21.46924","5.66012"
"16.20000","21.60275","5.67041"
"16.30000","21.73608","5.68019"
"16.40000","21.86937","5.69568"
"16.50000","22.00265","5.70546"
"16.60000","22.13598","5.72854"
"16.70000","22.26943","5.73775"
"16.80000","22.40265","5.74409"
"16.90000","22.53605","5.76196"
"17.00000","22.66939","5.77262"
"17.10000","22.80272","5.78849"
"17.20000","22.93606","5.79946"
"17.30000","23.06934","5.81137"
"17.40000","23.20262","5.82323"
"17.50000","23.33601","5.83752"
"17.60000","23.46935","5.84730"
"17.70000","23.60268","5.86204"
"17.80000","23.73597","5.87063"
"17.90000","23.86936","5.87872"
"18.00000","24.00264","5.88411"
"18.10000","24.13609","5.90399"
"18.20000","24.26937","5.91139"
"18.30000","24.40270","5.93215"
"18.40000","24.53616","5.93165"
"18.50000","24.66938","5.94563"
"18.60000","24.80272","5.95911"
"18.70000","24.93605","5.96877"
"18.80000","25.06933","5.98206"
"18.90000","25.20272","6.00420"
"19.00000","25.33606","6.00853"
"19.10000","25.46934","6.00733"
"19.20000","25.60274","6.02320"
"19.30000","25.73607","6.02383"
"19.40000","25.86935","6.02978"
"19.50000","26.00263","6.04584"
"19.60000","26.13608","6.05443"
"19.70000","26.26936","6.06151"
"19.80000","26.40275","6.07550"
"19.90000","26.53603","6.07957"
"20.00000","26.66932","6.09425"
"20.10000","26.80276","6.10315"
"20.20000","26.93605","6.10842"
"20.30000","27.06938","6.12259"
"20.40000","27.20272","6.13977"
"20.50000","27.33605","6.14341"
"20.60000","27.46939","6.15407"
"20.70000","27.60262","6.16065"
"20.80000","27.73601","6.18028"
"20.90000","27.86929","6.18636"
"21.00000","28.00268","6.19552"
"21.10000","28.13602","6.20361"
"21.20000","28.26924","6.21747"
"21.30000","28.40269","6.23434"
"21.40000","28.53609","6.24199"
"21.50000","28.66942","6.26676"
"21.60000","28.80264","6.26857"
"21.70000","28.93598","6.28043"
"21.80000","29.06938","6.29372"
"21.90000","29.20271","6.30946"
"22.00000","29.33605","6.32526"
"22.10000","29.46938","6.33235"
"22.20000","29.60272","6.34458"
"22.30000","29.73611","6.37355"
"22.40000","29.86934","6.38026"
"22.50000","30.00268","6.40246"
"22.60000","30.13607","6.41863"
"22.70000","30.26935","6.43726"
"22.80000","30.40269","6.45500"
"22.90000","30.53596","6.46792"
"23.00000","30.66936","6.47846"
"23.10000","30.80264","6.49445"
"23.20000","30.93603","6.50931"
"23.30000","31.06931","6.52467"
"23.40000","31.20259","6.53496"
"23.50000","31.33610","6.54913"
"23.60000","31.46932","6.56042"
"23.70000","31.60271","6.58644"
"23.80000","31.73605","6.59509"
"23.90000","31.86927","6.59886"
"24.00000","32.00272","6.61729"
"24.10000","32.13606","6.64100"
"24.20000","32.26934","6.64595"
"24.30000","32.40268","6.66752"
"24.40000","32.53601","6.67410"
"24.50000","32.66941","6.69191"
"24.60000","32.80263","6.70257"
"24.70000","32.93602","6.72471"
"24.80000","33.06936","6.74252"
"24.90000","33.20270","6.76215"
"25.00000","33.33603","6.77669"
"25.10000","33.46926","6.79331"
"25.20000","33.60276","6.80918"
"25.30000","33.73604","6.82122"
"25.40000","33.86932","6.84360"
"25.50000","34.00272","6.86361"
"25.60000","34.13605","6.88254"
"25.70000","34.26945","6.89766"
"25.80000","34.40273","6.91691"
"25.90000","34.53601","6.93585"
"26.00000","34.66940","6.95052"
"26.10000","34.80268","6.97943"
"26.20000","34.93602","6.99504"
"26.30000","35.06930","7.01423"
"26.40000","35.20269","7.03461"
"26.50000","35.33609","7.05267"
"26.60000","35.46936","7.06421"
"26.70000","35.60270","7.08898"
"26.80000","35.73598","7.10177"
"26.90000","35.86937","7.12228"
"27.00000","36.00271","7.13112"
"27.10000","36.13605","7.14736"
"27.20000","36.26939","7.15708"
"27.30000","36.40266","7.18210"
"27.40000","36.53606","7.19470"
"27.50000","36.66940","7.20630"
"27.60000","36.80268","7.21709"
"27.70000","36.93601","7.23741"
"27.80000","37.06940","7.25377"
"27.90000","37.20268","7.26293"
"28.00000","37.33602","7.28312"
"28.10000","37.46936","7.30181"
"28.20000","37.60269","7.31165"
"28.30000","37.73609","7.32024"
"28.40000","37.86926","7.33711"
"28.50000","38.00265","7.35185"
"28.60000","38.13604","7.36307"
"28.70000","38.26932","7.38038"
"28.80000","38.40271","7.39781"
"28.90000","38.53605","7.41556"
"29.00000","38.66927","7.42722"
"29.10000","38.80267","7.43876"
"29.20000","38.93600","7.46303"
"29.30000","39.06934","7.47494"
"29.40000","39.20268","7.48673"
"29.50000","39.33607","7.51138"
"29.60000","39.46935","7.53470"
"29.70000","39.60263","7.54317"
"29.80000","39.73608","7.56462"
"29.90000","39.86936","7.58876"
"30.00000","40.00264","7.59942"
"30.10000","40.13604","7.62525"
"30.20000","40.26926","7.65579"
"30.30000","40.40276","7.65962"
"30.40000","40.53599","7.68420"
"30.50000","40.66938","7.69988"
"30.60000","40.80272","7.71957"
"30.70000","40.93599","7.73725"
"30.80000","41.06939","7.75399"
"30.90000","41.20267","7.77682"
"31.00000","41.33595","7.79387"
"31.10000","41.46934","7.80516"
"31.20000","41.60274","7.82466"
"31.30000","41.73607","7.83815"
"31.40000","41.86930","7.84918"
"31.50000","42.00269","7.87909"
"31.60000","42.13609","7.88756"
"31.70000","42.26942","7.91340"
"31.80000","42.40276","7.92863"
"31.90000","42.53592","7.95566"
"32.00000","42.66937","7.97780"
"32.10000","42.80265","7.99372"
"32.20000","42.93599","8.01900"
"32.30000","43.06933","8.04295"
"32.40000","43.20266","8.07004"
"32.50000","43.33600","8.08659"
"32.60000","43.46939","8.11293"
"32.70000","43.60273","8.13319"
"32.80000","43.73606","8.16021"
"32.90000","43.86935","8.17432"
"33.00000","44.00269","8.19395"
"33.10000","44.13602","8.22204"
"33.20000","44.26936","8.24593"
"33.30000","44.40269","8.25622"
"33.40000","44.53603","8.27616"
"33.50000","44.66931","8.29823"
"33.60000","44.80265","8.32557"
"33.70000","44.93610","8.35066"
"33.80000","45.06938","8.36552"
"33.90000","45.20266","8.39142"
"34.00000","45.33605","8.41418"
"34.10000","45.46933","8.43042"
"34.20000","45.60278","8.45638"
"34.30000","45.73600","8.47939"
"34.40000","45.86928","8.49539"
"34.50000","46.00268","8.51551"
"34.60000","46.13607","8.54242"
"34.70000","46.26935","8.56863"
"34.80000","46.40269","8.57923"
"34.90000","46.53603","8.60713"
"35.00000","46.66930","8.61246"
"35.10000","46.80276","8.63560"
"35.20000","46.93603","8.65692"
"35.30000","47.06926","8.67849"
"35.40000","47.20282","8.69348"
"35.50000","47.33599","8.72546"
"35.60000","47.46933","8.73211"
"35.70000","47.60266","8.76076"
"35.80000","47.73600","8.77826"
"35.90000","47.86939","8.79218"
"36.00000","48.00267","8.81682"
"36.10000","48.13600","8.83702"
"36.20000","48.26935","8.86085"
"36.30000","48.40273","8.88925"
"36.40000","48.53602","8.89653"
"36.50000","48.66935","8.92913"
"36.60000","48.80269","8.94707"
"36.70000","48.93597","8.95961"
"36.80000","49.06942","8.98532"
"36.90000","49.20270","8.99811"
"37.00000","49.33592","9.02777"
"37.10000","49.46943","9.04784"
"37.20000","49.60276","9.06458"
"37.30000","49.73599","9.08390"
"37.40000","49.86932","9.10378"
"37.50000","50.00261","9.11657"
"37.60000","50.13605","9.14485"
"37.70000","50.26934","9.15770"
"37.80000","50.40273","9.18034"
"37.90000","50.53607","9.21013"
"38.00000","50.66941","9.21803"
"38.10000","50.80274","9.24675"
"38.20000","50.93602","9.26173"
"38.30000","51.06936","9.28487"
"38.40000","51.20264","9.29823"
"38.50000","51.33603","9.32432"
"38.60000","51.46931","9.33749"
"38.70000","51.60259","9.36878"
"38.80000","51.73604","9.39436"
"38.90000","51.86938","9.41763"
"39.00000","52.00271","9.44578"
"39.10000","52.13605","9.46710"
"39.20000","52.26933","9.49375"
"39.30000","52.40278","9.51137"
"39.40000","52.53606","9.54580"
"39.50000","52.66934","9.55891"
"39.60000","52.80273","9.58462"
"39.70000","52.93601","9.60976"
"39.80000","53.06940","9.63384"
"39.90000","53.20269","9.65962"
"40.00000","53.33608","9.67291"
"40.10000","53.46930","9.69473"
"40.20000","53.60276","9.73204"
"40.30000","53.73597","9.75154"
"40.40000","53.86926","9.76239"
"40.50000","54.00276","9.79876"
"40.60000","54.13604","9.81049"
"40.70000","54.26938","9.83676"
"40.80000","54.40272","9.85664"
"40.90000","54.53600","9.88417"
"41.00000","54.66945","9.90530"
"41.10000","54.80273","9.92017"
"41.20000","54.93601","9.94406"
"41.30000","55.06935","9.96575"
"41.40000","55.20273","9.98676"
"41.50000","55.33608","10.00777"
"41.60000","55.46935","10.03799"
"41.70000","55.60269","10.05035"
"41.80000","55.73597","10.07555"
"41.90000","55.86937","10.09493"
"42.00000","56.00270","10.11713"
"42.10000","56.13592","10.13983"
"42.20000","56.26943","10.15174"
"42.30000","56.40271","10.16968"
"42.40000","56.53605","10.20229"
"42.50000","56.66932","10.22091"
"42.60000","56.80261","10.24255"
"42.70000","56.93605","10.25778"
"42.80000","57.06939","10.28299"
"42.90000","57.20279","10.30237"
"43.00000","57.33601","10.31641"
"43.10000","57.46946","10.34269"
"43.20000","57.60268","10.35398"
"43.30000","57.73602","10.37542"
"43.40000","57.86936","10.40189"
"43.50000","58.00270","10.42277"
"43.60000","58.13609","10.43882"
"43.70000","58.26937","10.46133"
