Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00678"
"0.10000","0.48943","0.02169"
"0.20000","1.00804","0.09957"
"0.30000","1.50971","0.16146"
"0.40000","2.00985","0.21890"
"0.50000","2.50994","0.28305"
"0.60000","3.01008","0.33698"
"0.70000","3.51016","0.39078"
"0.80000","4.01007","0.43368"
"0.90000","4.50982","0.48234"
"1.00000","5.00990","0.53840"
"1.10000","5.51004","0.57420"
"1.20000","6.01007","0.62123"
"1.30000","6.50992","0.67673"
"1.40000","7.00989","0.71611"
"1.50000","7.51003","0.74458"
"1.60000","8.01006","0.78616"
"1.70000","8.51014","0.84711"
"1.80000","9.00983","0.87495"
"1.90000","9.50991","0.91094"
"2.00000","10.00994","0.95591"
"2.10000","10.51008","0.99246"
"2.20000","11.00999","1.02181"
"2.30000","11.50991","1.06326"
"2.40000","12.00988","1.09110"
"2.50000","12.51002","1.13086"
"2.60000","13.01010","1.16196"
"2.70000","13.51001","1.19062"
"2.80000","14.00987","1.22335"
"2.90000","14.50995","1.24524"
"3.00000","15.01004","1.27546"
"3.10000","15.51012","1.30820"
"3.20000","16.01003","1.32682"
"3.30000","16.50989","1.36031"
"3.40000","17.00980","1.38815"
"3.50000","17.51006","1.40558"
"3.60000","18.01003","1.43455"
"3.70000","18.51005","1.46365"
"3.80000","19.00985","1.47958"
"3.90000","19.51005","1.50968"
"4.00000","20.01007","1.52880"
"4.10000","20.51010","1.56611"
"4.20000","21.00996","1.58179"
"4.30000","21.50982","1.59408"
"4.40000","22.00990","1.62506"
"4.50000","22.51004","1.64613"
"4.60000","23.01012","1.65886"
"4.70000","23.51009","1.68281"
"4.80000","24.00989","1.70463"
"4.90000","24.51003","1.71272"
"5.00000","25.01006","1.74445"
"5.10000","25.51008","1.76044"
"5.20000","26.00983","1.78070"
"5.30000","26.50991","1.78885"
"5.40000","27.00994","1.81124"
"5.50000","27.51013","1.82867"
"5.60000","28.01005","1.84736"
"5.70000","28.50996","1.86560"
"5.80000","29.00988","1.87721"
"5.90000","29.51007","1.88856"
"6.00000","30.01004","1.91721"
"6.10000","30.51001","1.93302"
"6.20000","31.00987","1.94844"
"6.30000","31.50995","1.96123"
"6.40000","32.01003","1.97315"
"6.50000","32.51012","1.99315"
"6.60000","33.01003","2.00739"
"6.70000","33.50989","2.01585"
"6.80000","34.00991","2.04664"
"6.90000","34.51006","2.05398"
"7.00000","35.01008","2.07223"
"7.10000","35.50999","2.07699"
"7.20000","36.00991","2.08884"
"7.30000","36.50999","2.10709"
"7.40000","37.00996","2.12258"
"7.50000","37.51010","2.13550"
"7.60000","38.00990","2.15092"
"7.70000","38.50987","2.16917"
"7.80000","39.01001","2.17526"
"7.90000","39.51015","2.19093"
"8.00000","40.01012","2.20322"
"8.10000","40.50998","2.21144"
"8.20000","41.00995","2.23790"
"8.30000","41.50998","2.24680"
"8.40000","42.01011","2.26110"
"8.50000","42.51003","2.26443"
"8.60000","43.00994","2.27828"
"8.70000","43.50991","2.29271"
"8.80000","44.00999","2.31189"
"8.90000","44.51013","2.32444"
"9.00000","45.01004","2.32820"
"9.10000","45.50985","2.33547"
"9.20000","46.00982","2.36181"
"9.30000","46.51007","2.37579"
"9.40000","47.01004","2.37655"
"9.50000","47.51007","2.39925"
"9.60000","48.00992","2.40771"
"9.70000","48.51000","2.41894"
"9.80000","49.01003","2.43718"
"9.90000","49.51017","2.45117"
"10.00000","50.00992","2.45079"
"10.10000","50.50983","2.46346"
"10.20000","51.00991","2.47675"
"10.30000","51.51006","2.49356"
"10.40000","52.01008","2.49870"
"10.50000","52.51005","2.50641"
"10.60000","53.00996","2.51651"
"10.70000","53.50999","2.53162"
"10.80000","54.01002","2.54184"
"10.90000","54.51010","2.55545"
"11.00000","55.00990","2.57138"
"11.10000","55.50987","2.57351"
"11.20000","56.00996","2.58950"
"11.30000","56.51015","2.59878"
"11.40000","57.01012","2.62017"
"11.50000","57.50998","2.61308"
"11.60000","58.00983","2.64613"
"11.70000","58.50997","2.65252"
"11.80000","59.01011","2.67215"
"11.90000","59.51003","2.67616"
"12.00000","60.00994","2.68494"
"12.10000","60.50985","2.70018"
"12.20000","61.01005","2.71115"
"12.30000","61.51013","2.72113"
"12.40000","62.01005","2.73592"
"12.50000","62.50984","2.73668"
"12.60000","63.00987","2.75511"
"12.70000","63.51007","2.76383"
"12.80000","64.01009","2.78189"
"12.90000","64.51006","2.79907"
"13.00000","65.00992","2.79857"
"13.10000","65.50990","2.81105"
"13.20000","66.01003","2.82121"
"13.30000","66.51011","2.83224"
"13.40000","67.00991","2.84924"
"13.50000","67.50983","2.85983"
"13.60000","68.00991","2.87407"
"13.70000","68.51005","2.87601"
"13.80000","69.01013","2.89225"
"13.90000","69.51005","2.90172"
"14.00000","70.00990","2.93226"
"14.10000","70.50982","2.93145"
"14.20000","71.01007","2.94468"
"14.30000","71.51004","2.95691"
"14.40000","72.00990","2.95640"
"14.50000","72.50987","2.96807"
"14.60000","73.01006","2.98381"
"14.70000","73.51015","2.99760"
"14.80000","74.01012","3.01065"
"14.90000","74.50992","3.02858"
"15.00000","75.00983","3.03448"
"15.10000","75.50991","3.04024"
"15.20000","76.01006","3.05711"
"15.30000","76.51003","3.06608"
"15.40000","77.00994","3.08031"
"15.50000","77.50996","3.09361"
"15.60000","78.01005","3.10728"
"15.70000","78.51012","3.12333"
"15.80000","79.01010","3.13293"
"15.90000","79.50985","3.13199"
"16.00000","80.00986","3.14672"
"16.10000","80.50995","3.15550"
"16.20000","81.01009","3.16710"
"16.30000","81.51007","3.18924"
"16.40000","82.00992","3.18660"
"16.50000","82.50989","3.20297"
"16.60000","83.01009","3.22354"
"16.70000","83.51012","3.23953"
"16.80000","84.00997","3.25282"
"16.90000","84.50989","3.26361"
"17.00000","85.00990","3.26173"
"17.10000","85.51006","3.28067"
"17.20000","86.01007","3.30010"
"17.30000","86.50993","3.31484"
"17.40000","87.00985","3.31879"
"17.50000","87.50987","3.32851"
"17.60000","88.01006","3.34419"
"17.70000","88.51004","3.36193"
"17.80000","89.01001","3.37128"
"17.90000","89.50993","3.37811"
"18.00000","90.00995","3.39335"
"18.10000","90.50998","3.40414"
"18.20000","91.01006","3.41367"
"18.30000","91.50986","3.42245"
"18.40000","92.00983","3.44603"
"18.50000","92.50992","3.44822"
"18.60000","93.01006","3.45800"
"18.70000","93.51009","3.48139"
"18.80000","94.00993","3.48735"
"18.90000","94.50991","3.49475"
"19.00000","95.00994","3.51237"
"19.10000","95.51007","3.52341"
"19.20000","96.00999","3.52761"
"19.30000","96.50979","3.55953"
"19.40000","97.00987","3.55551"
"19.50000","97.51000","3.57276"
"19.60000","98.01009","3.59207"
"19.70000","98.51006","3.59420"
"19.80000","99.00999","3.60706"
"19.90000","99.50983","3.61922"
"20.00000","100.01004","3.63246"
"20.10000","100.51000","3.65522"
"20.20000","101.00997","3.66111"
"20.30000","101.50988","3.66431"
"20.40000","102.00992","3.68112"
"20.50000","102.50993","3.69222"
"20.60000","103.01013","3.71466"
"20.70000","103.50999","3.72037"
"20.80000","104.00984","3.73548"
"20.90000","104.50987","3.74483"
"21.00000","105.01008","3.75825"
"21.10000","105.51004","3.76728"
"21.20000","106.00996","3.78433"
"21.30000","106.50986","3.78947"
"21.40000","107.00995","3.80791"
"21.50000","107.51003","3.81594"
"21.60000","108.01006","3.82077"
"21.70000","108.50986","3.83914"
"21.80000","109.00995","3.85745"
"21.90000","109.51003","3.86610"
"22.00000","110.01012","3.87833"
"22.10000","110.51003","3.88987"
"22.20000","111.01000","3.89827"
"22.30000","111.50985","3.91934"
"22.40000","112.00993","3.92555"
"22.50000","112.51002","3.92505"
"22.60000","113.00999","3.95126"
"22.70000","113.50996","3.96154"
"22.80000","114.00993","3.97766"
"22.90000","114.51006","3.98525"
"23.00000","115.01010","4.00193"
"23.10000","115.51000","4.02068"
"23.20000","116.00980","4.02977"
"23.30000","116.50989","4.03134"
"23.40000","117.01009","4.04532"
"23.50000","117.51006","4.05962"
"23.60000","118.01003","4.07404"
"23.70000","118.50989","4.08163"
"23.80000","119.00997","4.10251"
"23.90000","119.50999","4.12233"
"24.00000","120.01014","4.12151"
"24.10000","120.50988","4.14396"
"24.20000","121.00984","4.16008"
"24.30000","121.50988","4.17864"
"24.40000","122.01003","4.18096"
"24.50000","122.51005","4.19632"
"24.60000","123.01006","4.21162"
"24.70000","123.50987","4.22674"
"24.80000","124.00996","4.23602"
"24.90000","124.51004","4.25069"
"25.00000","125.01012","4.26122"
"25.10000","125.50992","4.26856"
"25.20000","126.00988","4.28041"
"25.30000","126.50996","4.30318"
"25.40000","127.01011","4.31321"
"25.50000","127.51001","4.31616"
"25.60000","128.00999","4.33265"
"25.70000","128.50980","4.35290"
"25.80000","129.00999","4.37253"
"25.90000","129.51007","4.37780"
"26.00000","130.01004","4.39554"
"26.10000","130.50990","4.40589"
"26.20000","131.00992","4.42489"
"26.30000","131.51001","4.43166"
"26.40000","132.01009","4.44922"
"26.50000","132.51001","4.46490"
"26.60000","133.00987","4.47832"
"26.70000","133.50983","4.48302"
"26.80000","134.01003","4.49970"
"26.90000","134.51016","4.51274"
"27.00000","135.01003","4.52083"
"27.10000","135.50981","4.54473"
"27.20000","136.00990","4.55012"
"27.30000","136.51004","4.56072"
"27.40000","137.01007","4.58028"
"27.50000","137.50983","4.59909"
"27.60000","138.00990","4.60844"
"27.70000","138.50987","4.62035"
"27.80000","139.01007","4.63941"
"27.90000","139.51010","4.64763"
"28.00000","140.00999","4.66600"
"28.10000","140.50980","4.67572"
"28.20000","141.00995","4.69334"
"28.30000","141.51003","4.70011"
"28.40000","142.01001","4.71372"
"28.50000","142.50996","4.72927"
"28.60000","143.00995","4.75304"
"28.70000","143.50996","4.76226"
"28.80000","144.01012","4.77355"
"28.90000","144.51013","4.78126"
"29.00000","145.00987","4.80383"
"29.10000","145.50980","4.80647"
"29.20000","146.01004","4.83111"
"29.30000","146.51007","4.84785"
"29.40000","147.01004","4.85594"
"29.50000","147.50995","4.86447"
"29.60000","148.00993","4.87877"
"29.70000","148.51001","4.89451"
"29.80000","149.01015","4.91514"
"29.90000","149.50999","4.92160"
"30.00000","150.00986","4.93991"
"30.10000","150.50989","4.95214"
"30.20000","151.01003","4.97108"
"30.30000","151.51010","4.99158"
"30.40000","152.01003","5.00538"
"30.50000","152.50989","5.01077"
