Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01014"
"0.10000","0.48920","0.02686"
"0.20000","1.00816","0.11810"
"0.30000","1.50971","0.19354"
"0.40000","2.00985","0.24709"
"0.50000","2.51005","0.33087"
"0.60000","3.01008","0.38191"
"0.70000","3.51010","0.45616"
"0.80000","4.00996","0.51065"
"0.90000","4.50987","0.57066"
"1.00000","5.01001","0.62221"
"1.10000","5.51015","0.69395"
"1.20000","6.00995","0.74210"
"1.30000","6.50992","0.79447"
"1.40000","7.00989","0.83880"
"1.50000","7.51015","0.88997"
"1.60000","8.01012","0.93487"
"1.70000","8.51003","0.98773"
"1.80000","9.00983","1.03100"
"1.90000","9.50991","1.07897"
"2.00000","10.01011","1.12512"
"2.10000","10.51002","1.14720"
"2.20000","11.01005","1.20269"
"2.30000","11.51002","1.23837"
"2.40000","12.00999","1.26872"
"2.50000","12.51007","1.31475"
"2.60000","13.01010","1.35244"
"2.70000","13.50990","1.37859"
"2.80000","14.00976","1.42317"
"2.90000","14.51001","1.46023"
"3.00000","15.01021","1.48438"
"3.10000","15.51018","1.51516"
"3.20000","16.01003","1.53768"
"3.30000","16.51000","1.58207"
"3.40000","17.00997","1.61449"
"3.50000","17.51011","1.64384"
"3.60000","18.01008","1.67244"
"3.70000","18.50982","1.69426"
"3.80000","19.00991","1.72825"
"3.90000","19.51005","1.75471"
"4.00000","20.01013","1.77590"
"4.10000","20.51016","1.79979"
"4.20000","21.00996","1.83685"
"4.30000","21.50993","1.85272"
"4.40000","22.01001","1.88081"
"4.50000","22.51010","1.89906"
"4.60000","23.01001","1.93480"
"4.70000","23.50998","1.94948"
"4.80000","24.00995","1.97255"
"4.90000","24.51009","1.99883"
"5.00000","25.01017","2.01488"
"5.10000","25.51014","2.04868"
"5.20000","26.00983","2.06806"
"5.30000","26.50997","2.09264"
"5.40000","27.01005","2.10919"
"5.50000","27.51013","2.13603"
"5.60000","28.00999","2.15052"
"5.70000","28.50996","2.16381"
"5.80000","29.00988","2.18074"
"5.90000","29.51013","2.20758"
"6.00000","30.01010","2.23542"
"6.10000","30.50996","2.24050"
"6.20000","31.00987","2.25932"
"6.30000","31.51001","2.28509"
"6.40000","32.01009","2.30114"
"6.50000","32.51012","2.32322"
"6.60000","33.01003","2.33682"
"6.70000","33.50994","2.35940"
"6.80000","34.00991","2.37275"
"6.90000","34.51011","2.38517"
"7.00000","35.01003","2.41383"
"7.10000","35.50994","2.42863"
"7.20000","36.00991","2.44650"
"7.30000","36.51005","2.46086"
"7.40000","37.01013","2.47534"
"7.50000","37.51010","2.50231"
"7.60000","38.00990","2.50682"
"7.70000","38.50987","2.52175"
"7.80000","39.00990","2.54971"
"7.90000","39.51009","2.56840"
"8.00000","40.01006","2.57887"
"8.10000","40.50998","2.58740"
"8.20000","41.00995","2.60258"
"8.30000","41.51009","2.62540"
"8.40000","42.01011","2.64064"
"8.50000","42.50997","2.64810"
"8.60000","43.00983","2.67701"
"8.70000","43.50997","2.69419"
"8.80000","44.00999","2.71344"
"8.90000","44.51019","2.71934"
"9.00000","45.01004","2.73558"
"9.10000","45.50996","2.74580"
"9.20000","46.00993","2.76480"
"9.30000","46.51012","2.76587"
"9.40000","47.01004","2.80744"
"9.50000","47.50995","2.80907"
"9.60000","48.00992","2.82569"
"9.70000","48.51006","2.84156"
"9.80000","49.01009","2.85817"
"9.90000","49.51011","2.87109"
"10.00000","50.01003","2.89668"
"10.10000","50.50989","2.89479"
"10.20000","51.00997","2.90671"
"10.30000","51.51011","2.92163"
"10.40000","52.01003","2.93587"
"10.50000","52.50994","2.95920"
"10.60000","53.00991","2.97230"
"10.70000","53.51005","2.98710"
"10.80000","54.01013","3.00203"
"10.90000","54.51010","3.01758"
"11.00000","55.00990","3.02955"
"11.10000","55.50987","3.04755"
"11.20000","56.00996","3.06680"
"11.30000","56.51021","3.07483"
"11.40000","57.01012","3.08423"
"11.50000","57.50998","3.10292"
"11.60000","58.00994","3.12437"
"11.70000","58.51008","3.13302"
"11.80000","59.01017","3.15459"
"11.90000","59.50997","3.16005"
"12.00000","60.00983","3.16933"
"12.10000","60.50996","3.19510"
"12.20000","61.01011","3.20263"
"12.30000","61.51019","3.22476"
"12.40000","62.00999","3.23423"
"12.50000","62.50990","3.25969"
"12.60000","63.00993","3.26910"
"12.70000","63.51013","3.28321"
"12.80000","64.01004","3.29236"
"12.90000","64.51001","3.31048"
"13.00000","65.00992","3.32403"
"13.10000","65.51006","3.33720"
"13.20000","66.01009","3.35507"
"13.30000","66.51017","3.38047"
"13.40000","67.00997","3.38090"
"13.50000","67.50983","3.39138"
"13.60000","68.01003","3.41289"
"13.70000","68.51011","3.43170"
"13.80000","69.01013","3.44123"
"13.90000","69.50999","3.44700"
"14.00000","70.00990","3.48067"
"14.10000","70.51005","3.48581"
"14.20000","71.01012","3.50099"
"14.30000","71.51004","3.50513"
"14.40000","72.00984","3.53629"
"14.50000","72.50981","3.55103"
"14.60000","73.01006","3.56690"
"14.70000","73.51015","3.57731"
"14.80000","74.01006","3.58953"
"14.90000","74.50998","3.60628"
"15.00000","75.00989","3.61493"
"15.10000","75.51015","3.62873"
"15.20000","76.01012","3.65600"
"15.30000","76.50996","3.66666"
"15.40000","77.00999","3.67732"
"15.50000","77.50991","3.69463"
"15.60000","78.01010","3.71746"
"15.70000","78.51012","3.72868"
"15.80000","79.01005","3.73533"
"15.90000","79.50985","3.75853"
"16.00000","80.00993","3.77471"
"16.10000","80.51012","3.77759"
"16.20000","81.01015","3.79346"
"16.30000","81.51001","3.82205"
"16.40000","82.00992","3.83227"
"16.50000","82.51000","3.83967"
"16.60000","83.01009","3.85987"
"16.70000","83.51012","3.87586"
"16.80000","84.00985","3.89354"
"16.90000","84.50982","3.90652"
"17.00000","85.01003","3.92289"
"17.10000","85.51016","3.93656"
"17.20000","86.01014","3.95437"
"17.30000","86.50999","3.95330"
"17.40000","87.00990","3.98961"
"17.50000","87.50998","3.99168"
"17.60000","88.01006","4.00742"
"17.70000","88.50993","4.01902"
"17.80000","89.00990","4.04931"
"17.90000","89.50986","4.05808"
"18.00000","90.01006","4.07244"
"18.10000","90.51015","4.08003"
"18.20000","91.01012","4.10537"
"18.30000","91.50993","4.11734"
"18.40000","92.00983","4.13377"
"18.50000","92.50997","4.15139"
"18.60000","93.01011","4.15215"
"18.70000","93.51002","4.18011"
"18.80000","94.00993","4.19247"
"18.90000","94.50991","4.21874"
"19.00000","95.01010","4.22213"
"19.10000","95.51012","4.24301"
"19.20000","96.00999","4.25511"
"19.30000","96.50983","4.26910"
"19.40000","97.00992","4.29349"
"19.50000","97.51007","4.29863"
"19.60000","98.01009","4.31945"
"19.70000","98.50990","4.33488"
"19.80000","99.00992","4.35645"
